date,unemployment,inflation,period
1971-01-01,5.9,5.277044854881274,1970s
1971-02-01,5.9,4.724409448818889,1970s
1971-03-01,6.0,4.438642297650142,1970s
1971-04-01,5.9,4.155844155844157,1970s
1971-05-01,5.9,4.404145077720201,1970s
1971-06-01,5.9,4.381443298969079,1970s
1971-07-01,6.0,4.370179948586128,1970s
1971-08-01,6.1,4.358974358974366,1970s
1971-09-01,6.0,4.081632653061207,1970s
1971-10-01,5.8,3.8071065989847774,1970s
1971-11-01,6.0,3.535353535353525,1970s
1971-12-01,6.0,3.266331658291466,1970s
1972-01-01,5.8,3.2581453634085378,1970s
1972-02-01,5.7,3.759398496240607,1970s
1972-03-01,5.8,3.499999999999992,1970s
1972-04-01,5.7,3.4912718204488824,1970s
1972-05-01,5.7,3.2258064516129226,1970s
1972-06-01,5.7,2.9629629629629672,1970s
1972-07-01,5.6,2.9556650246305383,1970s
1972-08-01,5.6,2.9484029484029284,1970s
1972-09-01,5.5,3.1862745098039325,1970s
1972-10-01,5.6,3.1784841075794823,1970s
1972-11-01,5.3,3.4146341463414664,1970s
1972-12-01,5.2,3.406326034063256,1970s
1973-01-01,4.9,3.6407766990291357,1970s
1973-02-01,5.0,3.864734299516903,1970s
1973-03-01,4.9,4.8309178743961345,1970s
1973-04-01,5.0,5.301204819277117,1970s
1973-05-01,4.9,5.528846153846145,1970s
1973-06-01,4.9,5.995203836930463,1970s
1973-07-01,4.8,5.741626794258381,1970s
1973-08-01,4.8,7.398568019093088,1970s
1973-09-01,4.8,7.3634204275534465,1970s
1973-10-01,4.6,8.056872037914697,1970s
1973-11-01,4.8,8.25471698113207,1970s
1973-12-01,4.9,8.94117647058823,1970s
1974-01-01,5.1,9.601873536299754,1970s
1974-02-01,5.2,9.999999999999986,1970s
1974-03-01,5.1,10.138248847926267,1970s
1974-04-01,5.1,10.068649885583515,1970s
1974-05-01,5.1,10.70615034168565,1970s
1974-06-01,5.4,10.859728506787313,1970s
1974-07-01,5.5,11.538461538461519,1970s
1974-08-01,5.5,10.888888888888882,1970s
1974-09-01,5.9,11.946902654867241,1970s
1974-10-01,6.0,11.842105263157897,1970s
1974-11-01,6.6,12.200435729847502,1970s
1974-12-01,7.2,12.095032397408211,1970s
1975-01-01,8.1,11.752136752136755,1970s
1975-02-01,8.1,11.205073995771686,1970s
1975-03-01,8.6,10.460251046025103,1970s
1975-04-01,8.8,10.187110187110182,1970s
1975-05-01,9.0,9.259259259259256,1970s
1975-06-01,8.8,9.183673469387754,1970s
1975-07-01,8.6,9.533468559837743,1970s
1975-08-01,8.4,8.617234468937895,1970s
1975-09-01,8.4,7.905138339920947,1970s
1975-10-01,8.4,7.647058823529407,1970s
1975-11-01,8.3,7.37864077669903,1970s
1975-12-01,8.2,7.129094412331405,1970s
1976-01-01,7.9,6.692160611854692,1970s
1976-02-01,7.7,6.273764258555126,1970s
1976-03-01,7.6,6.060606060606055,1970s
1976-04-01,7.7,5.849056603773595,1970s
1976-05-01,7.4,6.214689265536721,1970s
1976-06-01,7.6,5.981308411214958,1970s
1976-07-01,7.8,5.555555555555558,1970s
1976-08-01,7.8,5.719557195571956,1970s
1976-09-01,7.6,5.494505494505497,1970s
1976-10-01,7.7,5.464480874316946,1970s
1976-11-01,7.8,5.063291139240511,1970s
1976-12-01,7.8,5.035971223021574,1970s
1977-01-01,7.5,5.197132616487465,1970s
1977-02-01,7.6,6.082289803220031,1970s
1977-03-01,7.4,6.428571428571428,1970s
1977-04-01,7.2,6.951871657754016,1970s
1977-05-01,7.0,6.737588652482285,1970s
1977-06-01,7.2,6.701940035273357,1970s
1977-07-01,6.9,6.666666666666665,1970s
1977-08-01,7.0,6.631762652705064,1970s
1977-09-01,6.8,6.423611111111094,1970s
1977-10-01,6.8,6.390328151986191,1970s
1977-11-01,6.8,6.712564543889843,1970s
1977-12-01,6.4,6.67808219178081,1970s
1978-01-01,6.4,6.814310051107331,1970s
1978-02-01,6.3,6.2394603709949426,1970s
1978-03-01,6.3,6.375838926174482,1970s
1978-04-01,6.1,6.499999999999995,1970s
1978-05-01,6.0,7.14285714285714,1970s
1978-06-01,5.9,7.438016528925617,1970s
1978-07-01,6.2,7.7302631578947345,1970s
1978-08-01,5.9,7.855973813420625,1970s
1978-09-01,6.0,8.482871125611746,1970s
1978-10-01,5.8,8.92857142857142,1970s
1978-11-01,5.9,8.870967741935477,1970s
1978-12-01,6.0,8.988764044943842,1970s
1979-01-01,5.9,9.250398724082931,1970s
1979-02-01,5.9,9.84126984126985,1970s
1979-03-01,5.8,10.252365930599371,1970s
1979-04-01,5.8,10.485133020344284,1970s
1979-05-01,5.6,10.697674418604652,1970s
1979-06-01,5.7,11.076923076923073,1970s
1979-07-01,5.7,11.45038167938932,1970s
1979-08-01,6.0,11.836115326251884,1970s
1979-09-01,5.9,11.879699248120312,1970s
1979-10-01,6.0,12.071535022354718,1970s
1979-11-01,5.9,12.592592592592599,1970s
1979-12-01,6.0,13.254786450662737,1970s
1980-01-01,6.3,13.868613138686126,1980s
1980-02-01,6.3,14.161849710982644,1980s
1980-03-01,6.3,14.592274678111572,1980s
1980-04-01,6.9,14.589235127478762,1980s
1980-05-01,7.5,14.425770308123242,1980s
1980-06-01,7.6,14.265927977839322,1980s
1980-07-01,7.8,13.15068493150684,1980s
1980-08-01,7.7,12.890094979647216,1980s
1980-09-01,7.5,12.768817204301076,1980s
1980-10-01,7.5,12.632978723404253,1980s
1980-11-01,7.5,12.631578947368416,1980s
1980-12-01,7.2,12.353706111833551,1980s
1981-01-01,7.5,11.794871794871797,1980s
1981-02-01,7.4,11.392405063291132,1980s
1981-03-01,7.4,10.611735330836458,1980s
1981-04-01,7.2,10.135970333745359,1980s
1981-05-01,7.5,9.79192166462668,1980s
1981-06-01,7.5,9.696969696969692,1980s
1981-07-01,7.2,10.774818401937058,1980s
1981-08-01,7.4,10.817307692307686,1980s
1981-09-01,7.6,10.96543504171632,1980s
1981-10-01,7.9,10.271546635182993,1980s
1981-11-01,8.3,9.579439252336464,1980s
1981-12-01,8.5,8.912037037037024,1980s
1982-01-01,8.6,8.25688073394495,1980s
1982-02-01,8.9,7.613636363636367,1980s
1982-03-01,9.0,6.884875846501148,1980s
1982-04-01,9.3,6.621773288439958,1980s
1982-05-01,9.4,6.911928651059096,1980s
1982-06-01,9.6,7.182320441988943,1980s
1982-07-01,9.8,6.557377049180335,1980s
1982-08-01,9.8,5.965292841648595,1980s
1982-09-01,10.1,4.940923737916236,1980s
1982-10-01,10.4,5.032119914346889,1980s
1982-11-01,10.8,4.47761194029852,1980s
1982-12-01,10.8,3.825717321997879,1980s
1983-01-01,10.4,3.7076271186440746,1980s
1983-02-01,10.4,3.484688489968324,1980s
1983-03-01,10.3,3.5902851108764455,1980s
1983-04-01,10.2,4.0000000000000036,1980s
1983-05-01,10.1,3.44108446298228,1980s
1983-06-01,10.1,2.4742268041237248,1980s
1983-07-01,9.4,2.358974358974364,1980s
1983-08-01,9.5,2.456499488229258,1980s
1983-09-01,9.2,2.763561924257929,1980s
1983-10-01,8.8,2.752293577981657,1980s
1983-11-01,8.5,3.1632653061224536,1980s
1983-12-01,8.3,3.7871033776867957,1980s
1984-01-01,8.0,4.290091930541351,1980s
1984-02-01,7.8,4.693877551020398,1980s
1984-03-01,7.8,4.892966360856277,1980s
1984-04-01,7.7,4.5546558704453455,1980s
1984-05-01,7.4,4.3346774193548265,1980s
1984-06-01,7.2,4.325955734406439,1980s
1984-07-01,7.5,4.308617234468937,1980s
1984-08-01,7.5,4.295704295704317,1980s
1984-09-01,7.3,4.2828685258964105,1980s
1984-10-01,7.4,4.265873015873023,1980s
1984-11-01,7.2,4.154302670623156,1980s
1984-12-01,7.3,4.043392504930954,1980s
1985-01-01,7.3,3.52595494613126,1980s
1985-02-01,7.2,3.6062378167641462,1980s
1985-03-01,7.2,3.790087463556846,1980s
1985-04-01,7.3,3.581800580832528,1980s
1985-05-01,7.2,3.5748792270531515,1980s
1985-06-01,7.4,3.6644165863066513,1980s
1985-07-01,7.4,3.458213256484166,1980s
1985-08-01,7.1,3.3524904214559337,1980s
1985-09-01,7.1,3.2473734479465,1980s
1985-10-01,7.1,3.2350142721217834,1980s
1985-11-01,7.0,3.5137701804368593,1980s
1985-12-01,7.0,3.791469194312791,1980s
1986-01-01,6.7,3.9735099337748325,1980s
1986-02-01,7.2,3.19849482596426,1980s
1986-03-01,7.2,2.1535580524344455,1980s
1986-04-01,7.1,1.5887850467289688,1980s
1986-05-01,7.2,1.679104477611948,1980s
1986-06-01,7.2,1.7674418604651132,1980s
1986-07-01,7.0,1.671309192200554,1980s
1986-08-01,6.9,1.575532900834098,1980s
1986-09-01,7.0,1.757631822386685,1980s
1986-10-01,7.0,1.5668202764977046,1980s
1986-11-01,6.9,1.2844036697247763,1980s
1986-12-01,6.6,1.187214611872145,1980s
1987-01-01,6.6,1.364877161055511,1980s
1987-02-01,6.6,1.9143117593436676,1980s
1987-03-01,6.6,2.8414298808432603,1980s
1987-04-01,6.3,3.679852805887762,1980s
1987-05-01,6.3,3.669724770642202,1980s
1987-06-01,6.2,3.7477148080438782,1980s
1987-07-01,6.1,3.926940639269394,1980s
1987-08-01,6.0,4.2883211678832245,1980s
1987-09-01,5.9,4.2727272727272725,1980s
1987-10-01,6.0,4.355716878402904,1980s
1987-11-01,5.8,4.528985507246386,1980s
1987-12-01,5.7,4.332129963898912,1980s
1988-01-01,5.7,4.129263913824044,1980s
1988-02-01,5.7,3.9355992844364973,1980s
1988-03-01,5.7,3.832442067736186,1980s
1988-04-01,5.4,3.9929015084294583,1980s
1988-05-01,5.6,3.9823008849557473,1980s
1988-06-01,5.4,3.96475770925111,1980s
1988-07-01,5.4,4.130052724077338,1980s
1988-08-01,5.6,4.111986001749779,1980s
1988-09-01,5.4,4.184829991281602,1980s
1988-10-01,5.4,4.260869565217407,1980s
1988-11-01,5.3,4.246100519930662,1980s
1988-12-01,5.3,4.4117647058823595,1980s
1989-01-01,5.4,4.482758620689653,1980s
1989-02-01,5.2,4.647160068846801,1980s
1989-03-01,5.0,4.892703862660941,1980s
1989-04-01,5.2,5.034129692832767,1980s
1989-05-01,5.2,5.276595744680845,1980s
1989-06-01,5.3,5.1694915254237195,1980s
1989-07-01,5.2,5.063291139240511,1980s
1989-08-01,5.2,4.621848739495804,1980s
1989-09-01,5.3,4.435146443514637,1980s
1989-10-01,5.3,4.587155963302747,1980s
1989-11-01,5.4,4.655029093931851,1980s
1989-12-01,5.4,4.639602319801162,1980s
1990-01-01,5.4,5.198019801980203,1990s
1990-02-01,5.3,5.263157894736836,1990s
1990-03-01,5.2,5.237315875613735,1990s
1990-04-01,5.4,4.711616571892785,1990s
1990-05-01,5.4,4.365400161681476,1990s
1990-06-01,5.2,4.673650282030639,1990s
1990-07-01,5.5,4.819277108433728,1990s
1990-08-01,5.7,5.702811244979911,1990s
1990-09-01,5.9,6.169871794871806,1990s
1990-10-01,5.9,6.379585326953752,1990s
1990-11-01,6.2,6.195393169181873,1990s
1990-12-01,6.3,6.254948535233562,1990s
1991-01-01,6.4,5.647058823529405,1990s
1991-02-01,6.6,5.312500000000009,1990s
1991-03-01,6.8,4.821150855365497,1990s
1991-04-01,6.7,4.809930178432875,1990s
1991-05-01,6.9,5.034856700232382,1990s
1991-06-01,6.9,4.695919938414161,1990s
1991-07-01,6.8,4.367816091954024,1990s
1991-08-01,6.9,3.7993920972644313,1990s
1991-09-01,6.9,3.396226415094339,1990s
1991-10-01,7.0,2.8485757121439192,1990s
1991-11-01,7.0,3.0665669409125185,1990s
1991-12-01,7.3,2.980625931445613,1990s
1992-01-01,7.3,2.672605790645899,1990s
1992-02-01,7.4,2.8189910979228294,1990s
1992-03-01,7.4,3.189910979228472,1990s
1992-04-01,7.4,3.1828275351591495,1990s
1992-05-01,7.6,3.0235988200590036,1990s
1992-06-01,7.8,3.0147058823529305,1990s
1992-07-01,7.7,3.1571218795888534,1990s
1992-08-01,7.6,3.0746705710102518,1990s
1992-09-01,7.6,2.9927007299270114,1990s
1992-10-01,7.3,3.279883381924198,1990s
1992-11-01,7.4,3.1204644412191396,1990s
1992-12-01,7.4,2.966714905933454,1990s
1993-01-01,7.3,3.2537960954446943,1990s
1993-02-01,7.1,3.2467532467532534,1990s
1993-03-01,7.0,3.0194104960460155,1990s
1993-04-01,7.1,3.1563845050215145,1990s
1993-05-01,7.1,3.2211882605583497,1990s
1993-06-01,7.0,2.9978586723768963,1990s
1993-07-01,6.9,2.8469750889679624,1990s
1993-08-01,6.8,2.840909090909083,1990s
1993-09-01,6.7,2.7639971651311157,1990s
1993-10-01,6.8,2.752293577981657,1990s
1993-11-01,6.6,2.7445460942997935,1990s
1993-12-01,6.5,2.8109627547435068,1990s
1994-01-01,6.6,2.450980392156854,1990s
1994-02-01,6.6,2.515723270440251,1990s
1994-03-01,6.5,2.6517794836008246,1990s
1994-04-01,6.4,2.364394993045882,1990s
1994-05-01,6.1,2.288488210818307,1990s
1994-06-01,6.1,2.494802494802495,1990s
1994-07-01,6.1,2.69896193771626,1990s
1994-08-01,6.0,2.900552486187835,1990s
1994-09-01,5.9,2.965517241379323,1990s
1994-10-01,5.8,2.609890109890123,1990s
1994-11-01,5.6,2.602739726027403,1990s
1994-12-01,5.5,2.597402597402576,1990s
1995-01-01,5.6,2.8708133971291794,1990s
1995-02-01,5.4,2.862985685071595,1990s
1995-03-01,5.4,2.7872195785180187,1990s
1995-04-01,5.8,3.125000000000022,1990s
1995-05-01,5.6,3.1186440677966054,1990s
1995-06-01,5.6,3.0425963488843744,1990s
1995-07-01,5.7,2.8301886792452713,1990s
1995-08-01,5.7,2.6174496644295386,1990s
1995-09-01,5.6,2.54521098459477,1990s
1995-10-01,5.5,2.7443105756358666,1990s
1995-11-01,5.6,2.603471295060067,1990s
1995-12-01,5.6,2.5316455696202667,1990s
1996-01-01,5.6,2.7906976744185963,1990s
1996-02-01,5.5,2.717031146454607,1990s
1996-03-01,5.5,2.8439153439153486,1990s
1996-04-01,5.6,2.832674571805005,1990s
1996-05-01,5.6,2.827087442472065,1990s
1996-06-01,5.3,2.8215223097112663,1990s
1996-07-01,5.5,2.8833551769331667,1990s
1996-08-01,5.1,2.8122956180510084,1990s
1996-09-01,5.2,3.0045721750489918,1990s
1996-10-01,5.2,3.0618892508143203,1990s
1996-11-01,5.4,3.2530904359141077,1990s
1996-12-01,5.4,3.378817413905133,1990s
1997-01-01,5.3,3.0381383322559907,1990s
1997-02-01,5.2,3.0322580645161246,1990s
1997-03-01,5.2,2.7652733118971096,1990s
1997-04-01,5.1,2.434336963484962,1990s
1997-05-01,4.9,2.237851662404089,1990s
1997-06-01,5.0,2.233567326100827,1990s
1997-07-01,4.9,2.165605095541401,1990s
1997-08-01,4.8,2.2900763358778775,1990s
1997-09-01,4.9,2.21940393151554,1990s
1997-10-01,4.7,2.0859671302149163,1990s
1997-11-01,4.6,1.8903591682419618,1990s
1997-12-01,4.7,1.6970458830924073,1990s
1998-01-01,4.6,1.6311166875784044,1990s
1998-02-01,4.6,1.440200375704448,1990s
1998-03-01,4.7,1.3767209011263937,1990s
1998-04-01,4.3,1.4383989993745905,1990s
1998-05-01,4.4,1.6885553470919357,1990s
1998-06-01,4.5,1.6229712858926382,1990s
1998-07-01,4.5,1.74563591022443,1990s
1998-08-01,4.5,1.6169154228855787,1990s
1998-09-01,4.6,1.4267990074441794,1990s
